lon,lat,time,elevation,distance_m,place_name,elevation_diff,slope
3.85043,45.0255,,849.0,3953.6771492750754,Chemin de Compostelle,19.0,0.0688083045066205
3.84759,45.0243,,847.0,4213.72342531716,Chibotte de Perbet,-2.0,-0.0076909388222745
3.84473,45.02309,,852.0,4475.693510999647,Chibotte de Perbet,5.0,0.0190861486607295
3.84364,45.02264,,854.0,4574.905053409021,Chibotte de Perbet,2.0,0.020158944729913
3.84329,45.02268,,854.0,4602.770766541651,Chibotte de Perbet,0.0,0.0
3.84297,45.02262,,854.0,4628.791215590535,Chibotte de Perbet,0.0,0.0
3.84258,45.02252,,854.0,4661.398089263508,Chibotte de Perbet,0.0,0.0
3.84129,45.02219,,859.0,4769.222813772743,Chibotte de Perbet,5.0,0.0463715536743314
3.84059,45.022,,859.0,4828.157283101218,Chibotte de Perbet,0.0,0.0
3.84027,45.02187,,859.0,4857.166331936472,Chibotte de Perbet,0.0,0.0
3.83993,45.02175,,860.0,4887.035366538707,Chibotte de Perbet,1.0,0.0334794884842091
3.83942,45.02164,,861.0,4928.944425108772,Chibotte de Perbet,1.0,0.0238611897790112
3.83835,45.0215,,862.0,5014.471973374884,Chibotte de Perbet,1.0,0.0116921392027814
3.83744,45.02131,,863.0,5089.050588237924,Chibotte de Perbet,1.0,0.013408669520565
3.83669,45.02112,,863.0,5151.67038630917,Chibotte de Perbet,0.0,0.0
3.83642,45.02107,,863.0,5173.6079814737495,Chibotte de Perbet,0.0,0.0
3.83574,45.02056,,864.0,5251.534288455027,Chibotte de Perbet,1.0,0.012832636868577
3.83524,45.02028,,864.0,5301.67209209346,Chibotte de Perbet,0.0,0.0
3.83457,45.02014,,863.0,5356.586138532375,Chibotte de Perbet,-1.0,-0.0182102770574804
3.83395,45.01994,,867.0,5410.152273419772,Chibotte de Perbet,4.0,0.074674045614986
3.83436,45.01945,,866.0,5473.454541883566,Chibotte de Perbet,-1.0,-0.0157972221891536
3.83478,45.01873,,868.0,5560.053992169277,Chibotte de Perbet,2.0,0.0230948348217171
3.83518,45.01842,,868.0,5606.709259191482,Chibotte de Perbet,0.0,0.0
3.83539,45.0181,,870.0,5645.933802755033,Chibotte de Perbet,2.0,0.0509884836966837
3.83573,45.0178,,870.0,5688.677193892002,Chibotte de Perbet,0.0,0.0
3.83593,45.01752,,868.0,5723.555494205689,Chibotte de Perbet,-2.0,-0.0573422438023783
3.8362,45.01724,,870.0,5761.235300251102,Chibotte de Perbet,2.0,0.0530788294820183
3.83684,45.01685,,869.0,5827.653040562184,Chibotte de Perbet,-1.0,-0.0150562183434165
3.83718,45.01651,,868.0,5873.951588568203,Chibotte de Perbet,-1.0,-0.0215989494934052
3.83738,45.01638,,868.0,5895.308113338535,Chibotte de Perbet,0.0,0.0
3.83707,45.01634,,868.0,5920.078030573326,Chibotte de Perbet,0.0,0.0
3.83666,45.01632,,871.0,5952.382422580316,Chibotte de Perbet,3.0,0.0928666293843546
3.83575,45.01604,,872.0,6030.3946902020925,Chibotte de Perbet,1.0,0.0128184967632046
3.83554,45.01584,,872.0,6058.090427160526,Chibotte de Perbet,0.0,0.0
3.83529,45.0155,,869.0,6100.698968882492,Chibotte de Perbet,-3.0,-0.0704084176261173
3.8351,45.01533,,869.0,6124.790136295271,Chibotte de Perbet,0.0,0.0
3.83494,45.01519,,871.0,6144.803117000273,Chibotte de Perbet,2.0,0.0999351385723403
3.83465,45.01518,,871.0,6167.625915953204,Chibotte de Perbet,0.0,0.0
3.83416,45.01537,,875.0,6211.5564956084645,Chibotte de Perbet,4.0,0.0910527480263054
3.83363,45.01554,,875.0,6257.305368192447,Route d'Espaly,0.0,0.0
3.83334,45.01544,,875.0,6282.668358999372,Route d'Espaly,0.0,0.0
3.83309,45.01534,,878.0,6305.247559327273,Route d'Espaly,3.0,0.1328656443289931
3.83276,45.01525,,878.0,6333.050945074379,Route d'Espaly,0.0,0.0
3.83239,45.01506,,880.0,6368.998699792228,Route d'Espaly,2.0,0.0556362981693255
3.83216,45.01491,,878.0,6393.596707716446,Route d'Espaly,-2.0,-0.0813073971746666
3.83201,45.01476,,878.0,6414.022757006506,Route d'Espaly,0.0,0.0
3.83181,45.01458,,878.0,6439.473951545296,Route d'Espaly,0.0,0.0
3.83168,45.01427,,878.0,6475.4272014911,Route d'Espaly,0.0,0.0
3.83164,45.01391,,879.0,6515.5806743450685,Route d'Espaly,1.0,0.0249044460895534
3.8316,45.01368,,879.0,6541.348071881995,Route d'Espaly,0.0,0.0
3.83137,45.0135,,879.0,6568.31999440722,Route d'Espaly,0.0,0.0
3.83114,45.01342,,879.0,6588.469783097061,Route d'Espaly,0.0,0.0
3.83089,45.01336,,879.0,6609.223473545981,Route d'Espaly,0.0,0.0
3.83052,45.01324,,869.0,6641.223322090371,Route d'Espaly,-10.0,-0.3125014790656892
3.83004,45.01327,,869.0,6679.102571728418,Route d'Espaly,0.0,0.0
3.82968,45.01327,,871.0,6707.401622442684,Route d'Espaly,2.0,0.0706737487484617
3.82928,45.01326,,871.0,6738.864669951443,Route d'Espaly,0.0,0.0
3.82897,45.01332,,875.0,6764.130082860247,Route d'Espaly,4.0,0.1583192016072745
3.82864,45.01324,,875.0,6791.553727446262,Route d'Espaly,0.0,0.0
3.82835,45.01316,,875.0,6816.024349441186,Route d'Espaly,0.0,0.0
3.8281,45.01309,,880.0,6837.16182437605,Route d'Espaly,5.0,0.2365467027356694
3.82785,45.01305,,880.0,6857.311051650974,Route d'Espaly,0.0,0.0
3.82761,45.01285,,880.0,6886.47444784803,Route d'Espaly,0.0,0.0
3.82741,45.01263,,881.0,6915.553803934892,Route d'Espaly,1.0,0.0343886569225576
3.82724,45.01244,,879.0,6940.552559538814,Route d'Espaly,-2.0,-0.0800039822656693
3.82694,45.01236,,879.0,6965.757416044269,Route d'Espaly,0.0,0.0
3.82654,45.01222,,882.0,7000.843896366357,Route d'Espaly,3.0,0.0855030191817631
3.82625,45.01213,,882.0,7025.740668708189,Route d'Espaly,0.0,0.0
3.82586,45.01173,,882.0,7079.761074136744,Route d'Espaly,0.0,0.0
3.8258,45.01155,,883.0,7100.324401147155,Route d'Espaly,1.0,0.0486302629673553
3.82573,45.01127,,883.0,7131.941525254231,Route d'Espaly,0.0,0.0
3.82554,45.01072,,884.0,7194.896226943252,Route d'Espaly,1.0,0.015884437113843
3.82551,45.01032,,884.0,7239.436677894317,Route d'Espaly,0.0,0.0
3.82558,45.01008,,884.0,7266.68490962927,Route d'Espaly,0.0,0.0
3.82547,45.00983,,879.0,7295.797579959899,Route d'Espaly,-5.0,-0.1717465262793007
3.82533,45.00947,,879.0,7337.31317024309,Route d'Espaly,0.0,0.0
3.82525,45.00928,,879.0,7359.356411892199,Route d'Espaly,0.0,0.0
3.82511,45.00901,,875.0,7391.332807849832,Route d'Espaly,-4.0,-0.1250922713522708
3.82485,45.00858,,882.0,7443.332295062378,Route d'Espaly,7.0,0.1346167121107915
3.8247,45.00842,,882.0,7464.676699837754,Route d'Espaly,0.0,0.0
3.82465,45.00795,,882.0,7517.085930236044,Route d'Espaly,0.0,0.0
3.82456,45.00755,,882.0,7562.123156944,Route d'Espaly,0.0,0.0
3.82418,45.00717,,883.0,7613.8713991372015,Route d'Espaly,1.0,0.0193243278924626
3.82369,45.00625,,893.0,7723.183527410501,Route d'Espaly,10.0,0.0914811572874903
3.82347,45.00582,,889.0,7774.029515901206,Route d'Espaly,-4.0,-0.078668939649609
3.82333,45.00547,,890.0,7814.474225853059,Route d'Espaly,1.0,0.0247251124112508
3.82311,45.00533,,890.0,7837.7443881218815,Route d'Espaly,0.0,0.0
3.82277,45.0051,,890.0,7874.738971668828,Route d'Espaly,0.0,0.0
3.82262,45.00493,,880.0,7897.019069628714,Route d'Espaly,-10.0,-0.4488310607073814
3.82209,45.0046,,883.0,7952.541608134684,Route d'Espaly,3.0,0.0540321116563756
3.82169,45.00438,,883.0,7992.384080378964,Route d'Espaly,0.0,0.0
3.82155,45.00417,,887.0,8018.199159683816,Route d'Espaly,4.0,0.1549481972440906
3.82156,45.00396,,881.0,8041.5633261434705,Route d'Espaly,-6.0,-0.2568035119233078
3.82108,45.00349,,881.0,8106.026183354145,Route d'Espaly,0.0,0.0
3.82086,45.00327,,887.0,8135.986385747101,Route d'Espaly,6.0,0.200265669814392
3.82055,45.00276,,883.0,8197.711584233935,Route d'Espaly,-4.0,-0.0648033558102397
3.82049,45.00253,,883.0,8223.717848783102,Route d'Espaly,0.0,0.0
