lon,lat,time,elevation,distance_m,place_name,elevation_diff,slope
3.88478,45.04559,,680.0,0.0,Le Puy-en-Velay,0.0,
3.88396,45.04557,,662.0,64.46094593646623,Le Puy-en-Velay,-18.0,-0.2792388435897465
3.88319,45.04553,,652.0,125.11863415670155,Le Puy-en-Velay,-10.0,-0.16485956345207392
3.88284,45.04545,,652.0,154.0192076512512,Le Puy-en-Velay,0.0,0.0
3.8825,45.04535,,640.0,182.95305936669067,Le Puy-en-Velay,-12.0,-0.41473911313358436
3.88264,45.04486,,649.0,238.53768600809315,Le Puy-en-Velay,9.0,0.16191527304955047
3.88272,45.04442,,649.0,287.86551681594193,Le Puy-en-Velay,0.0,0.0
3.88281,45.04422,,649.0,311.2015503517056,Le Puy-en-Velay,0.0,0.0
3.88288,45.04394,,647.0,342.81812814384506,Le Puy-en-Velay,-2.0,-0.06325795325315824
3.88277,45.04374,,647.0,366.6773419052668,Le Puy-en-Velay,0.0,0.0
3.88257,45.04347,,647.0,400.5634476620621,Le Puy-en-Velay,0.0,0.0
3.88244,45.04321,,643.0,431.2252780926803,Le Puy-en-Velay,-4.0,-0.13045535585526213
3.88176,45.04311,,643.0,485.7960144543216,Le Puy-en-Velay,0.0,0.0
3.88084,45.04299,,642.0,559.2994814864338,Le Puy-en-Velay,-1.0,-0.013604800431564945
3.88016,45.04292,,645.0,613.2895521773867,Le Puy-en-Velay,3.0,0.05556577277278342
3.87907,45.04273,,656.0,701.4960777113274,Le Puy-en-Velay,11.0,0.12470732673590391
3.87815,45.0424,,666.0,782.55948319276,Le Puy-en-Velay,10.0,0.12336022574687514
3.8767,45.04169,,678.0,921.1659612924079,Le Puy-en-Velay,12.0,0.08657604005617167
3.87613,45.04131,,682.0,982.7377029469427,Le Puy-en-Velay,4.0,0.06496486687745658
3.87577,45.0418,,698.0,1044.127575526314,Le Puy-en-Velay,16.0,0.2606293078604046
3.87479,45.04169,,703.0,1122.091021507008,Le Puy-en-Velay,5.0,0.06413261929492124
3.8745,45.04157,,699.0,1148.4957534665473,Le Puy-en-Velay,-4.0,-0.15148799867119705
3.87318,45.04098,,692.0,1271.2161087978802,Le Puy-en-Velay,-7.0,-0.057040252051916616
3.87315,45.0408,,708.0,1291.3695129308333,Le Puy-en-Velay,16.0,0.7939105420824785
